"ID","Constituency ID","Name","Alias","Date Created","Last Updated"
"1","1","Port Reitz","","23/08/2021","23/08/2021"
"2","1","Kipevu","","23/08/2021","23/08/2021"
"3","1","Airport","","23/08/2021","23/08/2021"
"4","1","Changamwe","","23/08/2021","23/08/2021"
"5","1","Chaani","","23/08/2021","23/08/2021"
"6","2","Jomvu Kuu","","23/08/2021","23/08/2021"
"7","2","Miritini","","23/08/2021","23/08/2021"
"8","2","Mikindani","","23/08/2021","23/08/2021"
"9","3","Mjambere","","23/08/2021","23/08/2021"
"10","3","Junda","","23/08/2021","23/08/2021"
"11","3","Bamburi","","23/08/2021","23/08/2021"
"12","3","Mwakirunge","","23/08/2021","23/08/2021"
"13","3","Mtopanga","","23/08/2021","23/08/2021"
"14","3","Magogoni","","23/08/2021","23/08/2021"
"15","3","Shanzu","","23/08/2021","23/08/2021"
"16","4","Frere Town","","23/08/2021","23/08/2021"
"17","4","Ziwa La Ng'ombe","","23/08/2021","23/08/2021"
"18","4","Mkomani","","23/08/2021","23/08/2021"
"19","4","Kongowea","","23/08/2021","23/08/2021"
"20","4","Kadzandani","","23/08/2021","23/08/2021"
"21","5","Mtongwe","","23/08/2021","23/08/2021"
"22","5","Shika Adabu","","23/08/2021","23/08/2021"
"23","5","Bofu","","23/08/2021","23/08/2021"
"24","5","Likoni","","23/08/2021","23/08/2021"
"25","5","Timbwani","","23/08/2021","23/08/2021"
"26","6","Mji Wa Kale/makadara","","23/08/2021","23/08/2021"
"27","6","Tudor","","23/08/2021","23/08/2021"
"28","6","Tononoka","","23/08/2021","23/08/2021"
"29","6","Shimanzi/ganjoni","","23/08/2021","23/08/2021"
"30","6","Majengo","","23/08/2021","23/08/2021"
"31","7","Gombatobongwe","","23/08/2021","23/08/2021"
"32","7","Ukunda","","23/08/2021","23/08/2021"
"33","7","Kinondo","","23/08/2021","23/08/2021"
"34","7","Ramisi","","23/08/2021","23/08/2021"
"35","8","Pongwekikoneni","","23/08/2021","23/08/2021"
"36","8","Dzombo","","23/08/2021","23/08/2021"
"37","8","Mwereni","","23/08/2021","23/08/2021"
"38","8","Vanga","","23/08/2021","23/08/2021"
"39","9","Tsimba Golini","","23/08/2021","23/08/2021"
"40","9","Waa","","23/08/2021","23/08/2021"
"41","9","Tiwi","","23/08/2021","23/08/2021"
"42","9","Kubo South","","23/08/2021","23/08/2021"
"43","9","Mkongani","","23/08/2021","23/08/2021"
"44","10","Nadavaya","","23/08/2021","23/08/2021"
"45","10","Puma","","23/08/2021","23/08/2021"
"46","10","Kinango","","23/08/2021","23/08/2021"
"47","10","Mackinnon-road","","23/08/2021","23/08/2021"
"48","10","Chengoni/samburu","","23/08/2021","23/08/2021"
"49","10","Mwavumbo","","23/08/2021","23/08/2021"
"50","10","Kasemeni","","23/08/2021","23/08/2021"
"51","11","Tezo","","23/08/2021","23/08/2021"
"52","11","Sokoni","","23/08/2021","23/08/2021"
"53","11","Kibarani","","23/08/2021","23/08/2021"
"54","11","Dabaso","","23/08/2021","23/08/2021"
"55","11","Matsangoni","","23/08/2021","23/08/2021"
"56","11","Watamu","","23/08/2021","23/08/2021"
"57","11","Mnarani","","23/08/2021","23/08/2021"
"58","12","Junju","","23/08/2021","23/08/2021"
"59","12","Mwarakaya","","23/08/2021","23/08/2021"
"60","12","Shimo La Tewa","","23/08/2021","23/08/2021"
"61","12","Chasimba","","23/08/2021","23/08/2021"
"62","12","Mtepeni","","23/08/2021","23/08/2021"
